页序,词条,繁体异体,拼音,字级,笔画数,释义
590/R-08,有,,yǒu,一级,6,❶跟“无”“没”相对。1.表示所属：他～一本书|现在～时间。2.表示存在：那里～十来个人|～困难|～办法|～意见。3.表示发生或出现：～病了|形势～了新的发展。4.表示估量或比较：水～一丈多深|他～他哥哥那么高了。5.表示大，多：～学问|～经验。//［有的是］有很多，多得很。//❷用在某些动词前面表示客气：～劳|～请。//❸跟“某”用法相近：～一天晚上|～人不赞成。//❹用在“人、时候、地方”前面，表示一部分：～人性子急，～人性子慢。//❺前缀，用在某些朝代名或民族名前：～夏|～周|～苗。//另见yòu。
591/L-01,铕,（銪）,yǒu,三级,11,金属元素，符号Eu，原子序数63。铁灰色，用于核工业，也可制彩色显像管中的荧光粉。
591/L-02,酉,,yǒu,一级,7,❶地支的第十位。//❷酉时，十二时辰之一，指下午五点到七点。
591/L-03,槱,,yǒu,三级,15,聚积木柴以备燃烧。
591/L-04,卣,,yǒu,二级,7,古代一种盛酒的器皿。
591/L-05,羑,,yǒu,二级,9,［羑里］古地名，在今河南省汤阴。
591/L-06,莠,,yǒu,二级,10,（–子）狗尾草，草本植物，略像谷子，穗上有毛，像狗的尾巴。〖喻〗品质坏的，不好的人：良～不齐。
591/L-07,牖,,yǒu,二级,15,窗户。
591/R-01,黝,,yǒu,二级,17,黑色：一张～黑的脸。
591/R-02,又,,yòu,一级,2,副词。1.重复，连续，指相同的：他～立功了|今天～下雨了。2.表示加重语气，更进一层：他～不傻，怎么会不懂？|你～不是不会。3.表示并列关系：～高～大|～多～快|～好～省|我～高兴，～着急。4.再加上，还有：十～五年|一～二分之一。5.表示某种范围之外另有补充：穿上了棉袄～加了一件皮背心。6.表示转折：刚还想说什么，可～把它忘了。
591/R-03,右,,yòu,一级,5,❶面向南时靠西的一边，跟“左”相对：～手|～边。转西方（以面向南为准）：江～|山～。//❷政治思想上属于保守的或反动的：～倾。//❸古以右为上，品质等级高的称右：无出其～。//❹崇尚，重视：～文。//❺古同“佑”。
591/R-04,佑,,yòu,一级,7,❶辅助，保护：～助|～护|庇～。//❷姓。
591/R-05,祐,,yòu,三级,9,❶保佑，迷信的人指神帮助。//❷用于地名：吉～（在广东省顺德）。//❸姓。
591/R-06,幼,,yòu,一级,5,❶年纪小，初出生的，跟“老”相对（〖连〗–小）：～儿|～虫|～苗。//［幼稚］年纪小的。〖喻〗知识见解浅薄、缺乏经验的：思想～。//❷小孩儿：扶老携～|～有所养。
592/L-01,蚴,,yòu,二级,11,绦（tāo）虫、血吸虫等的幼体：毛～|尾～。
592/L-02,有,,yòu,一级,6,古同“又4”。//另见yǒu。
592/L-03,侑,,yòu,二级,8,在筵席旁助兴，劝人吃喝：～食。
592/L-04,囿,,yòu,二级,9,❶养动物的园子：鹿～。//❷局限，被限制：～于成见|不为陈规所～。
592/L-05,宥,,yòu,二级,9,❶宽容，饶恕，原谅（〖连〗原–、宽–）：还请～我。//❷帮助。
592/L-06,狖,,yòu,,8,古书上说的一种猴子。
592/L-07,柚,,yòu,二级,9,常绿乔木，种类很多。果实叫柚子，有的地区叫文旦，比橘子大，多汁，味酸甜。//另见yóu。
592/L-08,釉,,yòu,二级,12,（–子）以石英、长石、硼砂、黏土等为原料制成的物质，涂在瓷器、陶器外面，烧制后发出玻璃光泽，可增加陶瓷的机械强度和绝缘性能。
592/L-09,鼬,,yòu,二级,18,［黄鼬］哺乳动物，俗叫黄鼠狼，身体细长，毛黄褐色，遇见敌人能由肛门附近分泌臭气自卫，常捕食田鼠。
592/R-01,诱,（誘）,yòu（旧读yǒu）,一级,9,❶劝导，教导：循循善～。//❷引诱，使用手段引人：～敌|利～。//❸引发，导致：～发|～因。
592/R-02,迂,,yū,一级,6,❶曲折，绕远：～回前进。//❷言行、见解陈旧，不合时宜（〖连〗–腐）：～论|～见|思想太～。
592/R-03,吁,,yū,一级,6,叹词，吆喝牲口的声音。//另见xū；yù。
592/R-04,纡,（紆）,yū,二级,6,❶弯曲，绕弯。//❷系，结：～金佩紫（指地位显贵）。
592/R-05,於,,yū,三级,8,姓。//另见wū；yú。
592/R-06,淤,,yū,一级,11,❶水里泥沙沉积：～了好些泥。//❷河沟中沉积的泥沙：河～|清～。//❸同“瘀”。
592/R-07,瘀,,yū,三级,13,血液凝滞：～血。
592/R-08,于,,yú,一级,3,介词。1.在：写～北京|生～1949年。2.对于，对：～人民有益|忠～祖国|勇～负责。3.给：勿诿过～人|光荣归～党|取之于民，用之～民。4.自，由：出～自愿|取之～民，用之于民。5.向：问道～盲。6.在形容词后，表示比较，跟“过”的意思相同：霜叶红～二月花|人民的利益高～一切。7.在动词后，表示被动：见笑～大方。//［于是］连词，表示两件事前后紧接：我发现李老师也来了，～迎上前去打招呼。
593/L-01,邘,,yú,三级,5,❶周代诸侯国名，在今河南省沁阳西北。//❷姓。
593/L-02,盂,,yú,二级,8,一种盛液体的器皿：痰～|漱口～。
593/L-03,竽,,yú,二级,9,古代的一种管乐器，像现在的笙。//［滥竽充数］一个不会吹竽的人混在乐队里充数。〖喻〗没有真本领，在行家里充数或以次充好。
593/L-04,与,（與）,yú,一级,3,同“欤”。//另见yǔ；yù。
593/L-05,玙,（璵）,yú,二级,7,玙璠（fán），美玉。也说璠玙。
593/L-06,欤,（歟）,yú,二级,7,文言助词。1.表示疑问语气：在齐～？在鲁～？2.表示感叹语气：论者之言，一似管窥虎～！
593/L-07,予,,yú,一级,4,文言代词，我。//另见yǔ。
593/R-01,妤,,yú,二级,7,见“婕”字条“婕妤”（jié–）。
593/R-02,余,（①—③△餘）,yú,一级,7,❶剩下，多出来（〖连〗剩–）：～粮|～兴（xìng）|业～|不遗～力。//❷十、百、千等整数或度量单位后面的零头：十～人|三百～米|两吨～。//❸后：兴奋之～，高歌一曲。//❹文言代词，我。//❺姓。“餘”另见“馀”。
593/R-03,馀,（餘）,yú,,10,姓。“餘”另见“余”。
593/R-04,狳,,yú,二级,10,见“犰”字条“犰狳”（qiú–）。
593/R-05,畬,,yú,三级,12,开垦过两年的地。//另见shē。
593/R-06,艅,,yú,三级,13,［艅艎］（–huáng）古代一种大船。
593/R-07,臾,,yú,二级,8,［须臾］片刻，一会儿。
593/R-08,谀,（諛）,yú,二级,10,谄媚，奉承：～辞|阿（ē）～。
593/R-09,萸,,yú,二级,11,见“茱”字条“茱萸”（zhū–）。
593/R-10,腴,,yú,二级,12,❶肥，胖：丰～。//❷肥沃：土地膏～。
594/L-01,鱼,（魚）,yú,一级,8,脊椎动物的一类，通常身体侧扁，大都有鳞和鳍，用鳃呼吸，体温随外界温度而变化，生活在水中。种类很多。
594/L-02,渔,（漁、①*䱷）,yú,一级,11,❶捕鱼：～船|～业。//❷谋取（不应得的东西）：～利。
594/L-03,於,,yú,三级,8,古同“于”。//另见wū；yū。
594/L-04,禺,,yú,二级,9,❶古书上说的一种猴子。//❷见“番”字条“番禺”（pān–）。
594/L-05,隅,,yú,一级,11,❶角落：城～。//［隅反］由此知彼，能够类推，举一反三。//［向隅］对着屋子的一个角落，比喻孤立或得不到机会而失望。//❷靠边的地方：海～。
594/L-06,喁,,yú,二级,12,［喁喁］拟声词，形容小声说话的声音：～私语。//另见yóng。
