页序,词条,繁体异体,拼音,字级,笔画数,释义
195/R-02,獾,（*䝔、*貛）,huān,二级,20,哺乳动物，毛灰色，有的头部有三条白色纵纹。脂肪炼油可入药。
196/L-01,还,（還）,huán,一级,7,❶回，归（〖连〗回–）：～家|～原（恢复原状）。//❷回报：～礼|～手|以眼～眼，以牙～牙。//❸归还（〖连〗偿–）：～钱。//❹姓。〈古〉又同“旋”（xuán）。//另见hái。
196/L-02,环,（環）,huán,一级,8,❶（–儿）圈形的东西：连～|铁～。//❷围绕（〖连〗–绕）：～城马路|～视。//［环境］周围的一切事物：～优美|保护～。//❸指射击、射箭比赛中射中环靶的环数。
196/L-03,郇,,huán,二级,8,姓。//另见xún。
196/L-04,荁,,huán,三级,9,草本植物，根状茎粗壮，叶心脏形，花白色带紫色条纹，果实椭圆形。全草可入药。
196/L-05,峘,,huán,三级,9,❶与大山相连时显得较高的小山。//❷姓。
196/L-06,洹,,huán,二级,9,洹河，水名，又叫安阳河，在河南省安阳。
196/L-07,桓,,huán,二级,10,❶古代立在驿站、官署等建筑物旁作为标志的木柱，后称华表。//❷姓。
196/R-01,貆,,huán,三级,13,❶幼小的貉。//❷豪猪。
196/R-02,𬘫,（綄）,huán,三级,10,古代测风的一种装置。
196/R-03,萑,,huán,二级,11,古书上指芦苇一类的植物。
196/R-04,锾,（鍰）,huán,三级,14,古代重量单位，约合旧制六两。
196/R-05,圜,,huán,二级,16,围绕。//另见yuán。
196/R-06,阛,（闤）,huán,,16,［阛阓］（–huì）街市。
196/R-07,澴,,huán,三级,16,澴河，水名，在湖北省东北部。
196/R-08,寰,,huán,二级,16,广大的地域。//［寰球］［寰宇］全世界。也分别作“环球”“环宇”。
196/R-09,嬛,,huán,三级,16,见“嫏”字条“嫏嬛”（láng–）。
196/R-10,缳,（繯）,huán,二级,16,❶绳套：投～（自缢）。//❷绞杀：～首。
196/R-11,𮝹,（轘）,huán,,17,［（–yuán）古关名，在河南省偃师东南。//另见huàn。
196/R-12,鹮,（䴉）,huán,二级,18,鸟名，嘴细长而向下弯曲，腿长，生活在水边。种类较多，如朱鹮、白鹮、彩鹮等。
197/L-01,镮,（鐶）,huán,三级,18,圆形有孔可贯穿的东西。
197/L-02,鬟,,huán,二级,23,古代妇女梳的环形的发结。//［丫鬟］（yāhuan）旧称年轻的女仆。
197/L-03,𤩽,（瓛）,huán,三级,17,古代的一种玉圭。
197/L-04,缓,（緩）,huǎn,一级,12,❶慢，跟“急”相对（〖连〗–慢）：轻重～急|～步而行|～不济急。//❷延迟：～兵之计|～刑|～两天再办。//❸平和，不紧张。引使不紧张：和～。//［缓冲］使紧张的局势缓和：～地带|～作用。//［缓和］使紧张的情势转向平和。//❹恢复正常的生理状态：病人昏过去又～了过来|下过雨，花都～过来了|～～气再往前走。
197/L-05,㬊,,huǎn,三级,13,姓。
197/L-06,幻,,huàn,一级,4,❶空虚的，不真实的：梦～|～境|～想。//［幻灭］希望、理想等像幻境一样消失。//❷奇异地变化（〖连〗变–）：～术（魔术）。
197/L-07,奂,,huàn,二级,7,❶盛，多。//❷文采鲜明。
197/L-08,换,,huàn,一级,10,❶给人东西同时从他那里取得别的东西：互～|交～。//❷变换，更改：～衣服|～汤不～药。//❸兑换（用证券换取现金或用一种货币换另一种货币）。
197/R-01,唤,,huàn,一级,10,呼叫，喊（〖连〗呼–）：～鸡|～醒。
197/R-02,涣,,huàn,一级,10,散（sàn）开：～散|～然冰释。//［涣涣］水势浩大。
197/R-03,焕,,huàn,一级,11,光明：～然一新。//［焕发］1.光彩外现的样子：容光～。2.振作：～斗志。
197/R-04,痪,,huàn,一级,12,［瘫痪］见“瘫”。
197/R-05,宦,,huàn,一级,9,官（〖连〗官–、仕–）。//［宦官］封建时代经过阉割在皇宫里伺候皇帝及其家族的男人。又叫太监。
197/R-06,浣,（*澣）,huàn,二级,10,❶洗：～衣|～纱。//❷旧称每月的上、中、下旬为上、中、下浣。
197/R-07,睆,,huàn,,12,❶明亮。//❷美好。
197/R-08,鲩,（鯇）,huàn,二级,15,鱼名，即草鱼，身体微绿色，鳍微黑色，生活在淡水中。是我国的特产。
197/R-09,患,,huàn,一级,11,❶灾祸（〖连〗–难、灾–、祸–）：有备无～|防～未然|水～。//❷忧虑（〖连〗忧–）：～得～失。//❸害病：～病|～脚气。
198/L-01,漶,,huàn,二级,14,［漫漶］文字图像等磨灭、模糊。
198/L-02,逭,,huàn,三级,11,逃，避。
198/L-03,豢,,huàn,二级,13,喂养牲畜（〖连〗–养）。
198/L-04,擐,,huàn,三级,16,穿：～甲执兵。
198/L-05,𮝹,（轘）,huàn,,17,古代用车分裂人体的酷刑。//另见huán。
198/L-06,肓,,huāng,二级,7,［膏肓］心脏和膈膜之间。我国古代医学把心尖脂肪叫膏，膈膜叫肓，认为膏肓之间是药力达不到的地方：病入～（指病重到无法医治的地步）。
198/L-07,荒,,huāng,一级,9,❶庄稼没有收成或严重歉收：饥～|～年|备～。引严重缺乏：煤～|电～。//❷长满野草或无人耕种（〖连〗–芜）：～地|垦～|开～。引1.废弃：～废。2.荒凉，偏僻：～村|～郊。//［荒疏］久未练习而生疏：学业～。//❸不合情理，不正确：～谬|～诞。//［荒唐］1.浮夸不实：这话真～。2.行为放荡。
198/R-01,塃,,huāng,,12,〈方〉开采出来的矿石。
198/R-02,慌,,huāng,一级,12,❶慌张，急忙，忙乱（〖连〗–忙）：他做事太～|～里～张。//❷恐惧，不安（〖连〗恐–）：心里发～|惊～。//❸用作补语，表示难忍受：累得～|闷（mèn）得～。
198/R-03,皇,,huáng,一级,9,❶君主（〖连〗–帝）。//❷大（叠）：～～巨著。//❸古同“遑”“惶”。
198/R-04,凰,,huáng,一级,11,见“凤”字条“凤凰”。
198/R-05,隍,,huáng,二级,11,没有水的城壕。
198/R-06,喤,,huáng,三级,11,拟声词，形容钟鼓声、小儿啼哭声（叠）。
198/R-07,遑,,huáng,二级,12,❶闲暇：不～（没有工夫）。//❷匆忙（叠）。
198/R-08,徨,,huáng,二级,12,见“彷”字条“彷徨”（páng–）。
198/R-09,湟,,huáng,二级,12,湟水，水名，在青海。
198/R-10,惶,,huáng,一级,12,恐惧（〖连〗–恐）：惊～|人心～～。
198/R-11,媓,,huáng,三级,12,❶〈古〉母亲。//❷传说中舜的妻子的名字。
198/R-12,瑝,,huáng,三级,13,拟声词，形容玉碰撞发出的声音。
199/L-01,煌,,huáng,一级,13,明亮（叠）：星火～～|灯火辉～。
199/L-02,锽,（鍠）,huáng,三级,14,❶古代的一种兵器。//❷拟声词，形容钟鼓声（叠）。
199/L-03,蝗,,huáng,一级,15,蝗虫，昆虫，又叫蚂蚱（màzha），后肢发达，常成群飞翔，吃庄稼。
199/L-04,篁,,huáng,二级,15,竹林，泛指竹子。
199/L-05,艎,,huáng,三级,15,见“艅”字条“艅艎”（yú–）。
199/L-06,鳇,（鰉）,huáng,二级,17,鱼名，像鲟鱼，有五行硬鳞。嘴突出，半月形，两旁有扁平的须。
199/L-07,黄,,huáng,一级,11,❶像金子或向日葵花的颜色。//［黄色］1.黄的颜色。2.指腐朽堕落、与色情有关的：～小说。//❷指黄河：引～工程。//❸事情失败或计划不能实现：这件事～了。//❹指黄帝，传说中的我国上古帝王：炎～子孙。
199/L-08,潢,,huáng,二级,14,❶积水池。//❷染纸。//［装潢］裱褙字。引装饰货物的包装。
199/L-09,璜,,huáng,二级,15,半璧形的玉。
199/L-10,磺,,huáng,,16,用于一些含硫化合物的名称，如磺胺、磺酸等。//［硫磺］旧同“硫黄”。参看“硫”。
199/R-01,𨱑,（鐄）,huáng,三级,16,❶大钟。//❷钟声。//❸旧同“簧”。
199/R-02,癀,,huáng,三级,16,癀病，牛马猪羊等家畜的炭疽（jū）病。
199/R-03,蟥,,huáng,二级,17,见“蚂”字条“蚂蟥”（mǎ–）。
199/R-04,簧,,huáng,一级,17,❶乐器里用铜等制成的发声薄片：笙～|～乐器。//❷器物里有弹力的机件：锁～|弹～。
199/R-05,恍,（*怳）,huǎng,一级,9,❶忽地，忽然：～然大悟。//❷仿佛：～若置身其境。//［恍惚］（–hū）1.神志不清，精神不集中：精神～。2.（看得、听得、记得）不真切，不清楚：我～看见他了。
199/R-06,晃,,huǎng,一级,10,❶明亮：明～～的刺刀。//❷光芒闪耀：～眼（光线刺眼）。//❸很快地闪过：窗户外有个人影，一～就不见了。//另见huàng。
199/R-07,幌,,huǎng,一级,13,帐幔，帘帷。//［幌子］（–zi）商店、饭店等门外的标志物。〖喻〗为了进行某种活动所假借的名义：打着募捐的～骗钱。
199/R-08,谎,（謊）,huǎng,一级,11,❶谎话，不真实的话：撒～|说～。引商贩要的虚价：要～。//❷说谎话：～称。
200/L-01,晃,（*㨪）,huàng,一级,10,摇动，摆动（〖连〗摇–）：树枝来回～|～动|～悠（you）。//另见huǎng。
200/L-02,滉,,huàng,三级,13,［滉瀁］（–yǎng）形容水广大无边。
200/L-03,㿠,,huàng,三级,11,因气血虚少而面部发白的病色。
200/L-04,皝,,huàng,,15,用于人名。慕容皝，东晋初年鲜卑族的首领。
200/L-05,灰,,huī,一级,6,❶物体燃烧后剩下的粉末状的东西：炉～|烟～|～肥。//［石灰］一种建筑上常用的材料，俗叫白灰，又叫生石灰，是用石灰石烧成的，化学成分是氧化钙。生石灰遇水变成氢氧化钙，叫熟石灰。//❷灰尘：桌上一层～。//❸灰色，介于黑和白之间的颜色。//❹消沉，失望：心～意懒|～心丧气。
200/L-06,诙,（詼）,huī,二级,8,诙谐，说话有趣。
200/L-07,咴,,huī,二级,9,［咴儿咴儿］拟声词，形容马叫声。
200/L-08,恢,,huī,一级,9,大，宽广（叠）（〖连〗–宏）：～～有余|天网～～。//［恢复］1.回到原来的状态：视力～了。2.使回到原来的状态：～旧貌|～失地。
200/R-01,㧑,（撝）,huī,三级,7,❶指挥。//❷谦逊：～谦。
200/R-02,挥,（揮）,huī,一级,9,❶舞动，摇摆：～刀|～手|大笔一～。//［指挥］1.指导，调度。2.指导、调度的人：工程总～|乐队～。//❷散（sàn）出，甩出：～金如土|～汗如雨|～发。//［挥霍］（–huò）用钱浪费，随便花钱。
200/R-03,珲,（琿）,huī,二级,10,见“瑷”字条“瑷珲”（ài–）。//另见hún。
200/R-04,晖,（暉）,huī,三级,10,❶阳光：春～|朝～|余～。//❷同“辉”。
200/R-05,辉,（輝、*煇）,huī,一级,12,闪耀的光彩（〖连〗光–）：熠熠生～|相映成～。//［辉煌］光彩耀眼：金碧～。〖喻〗极其优良，出色：～的成绩。//［辉映］光彩照耀：烟花～着夜空|交相～。
200/R-06,翚,（翬）,huī,二级,12,❶飞。//❷古书上指具有五彩羽毛的野鸡。
200/R-07,虺,,huī,二级,9,［虺（–tuí）疲劳生病（多用于马）。也作“虺另见huǐ。
201/L-01,豗,,huī,,10,撞击。//［喧豗］形容轰响声。
201/L-02,袆,（褘）,huī,三级,9,古代王后穿的祭服。
201/L-03,麾,,huī,二级,15,古代指挥用的旗子。引指挥：～军。
201/L-04,徽,（①②*幑）,huī,一级,17,❶标志：国～|校～。//❷美好的：～号。//❸指徽州（古府名，府治在今安徽省歙县）：～墨。
201/L-05,隳,,huī,二级,17,毁坏。
201/L-06,回,（③迴、③*廻、③*逥、**囬）,huí,一级,6,❶到原来的地方：～家|～国|～原单位工作。//❷掉转：～过身来。//［回头］1.把头转向后方：～观望。2.回归，返回：一去不～。3.等一会儿：～再说吧。4.改邪归正：现在～还不晚。//❸曲折，环绕，旋转：～形针|巡～。//［回避］避免，躲开。//❹答复，报答：～信|～话|～敬。//❺量词，指事件的次数：两～|他来过一～。转我国长篇小说分的章节：《红楼梦》一共一百二十～。//［回纥］（–hé）唐代西北的民族。又叫回鹘（hú）。//［回族］我国少数民族，参看附表。
201/R-01,茴,,huí,二级,9,［茴香］1.小茴香，草本植物，叶分裂像毛，花黄色，茎叶嫩时可用作蔬菜。籽实大如麦粒，可做香料，又可入药。2.大茴香，常绿小乔木，叶长椭圆形，花红色，果实呈八角形，也叫八角茴香或大料，可做调料或入药。
201/R-02,洄,,huí,二级,9,水流回旋。
201/R-03,蛔,（*蚘、*痐、*蛕、*蜖）,huí,二级,12,蛔虫，像蚯蚓，白色或米黄色，寄生在人或其他动物的肠子里。能损害人畜的健康。
201/R-04,烠,,huí,三级,10,古书上指光或光的颜色。
201/R-05,虺,,huǐ,二级,9,古书上说的一种毒蛇。//［虺虺］〈古〉拟声词，形容打雷的声音。//另见huī。
201/R-06,悔,,huǐ,一级,10,后悔，懊恼：懊～|～过|～之已晚。
201/R-07,毁,（②*燬、④*譭）,huǐ,一级,13,❶破坏，损害：～坏|这把椅子是谁～的？|别～了个人前途。//［毁灭］彻底地消灭：给敌人以～性的打击。//❷烧掉：烧～|焚～。引使不存在：拆～|炸～|摧～|销～|捣～|撕～。//❸〈方〉把成件的旧东西改造成别的东西：这两个小凳是一张旧桌子～的。//❹诽谤，说别人的坏话（〖连〗诋–、–谤）。
202/L-01,卉,,huì,一级,5,草的总称：花～。
202/L-02,汇,（匯、②③彙、*滙）,huì,一级,5,❶河流会合在一起：～成巨流。//❷会聚在一起的东西：总～|词～。//❸聚合（〖连〗–聚、–集）：～报|～印成书。//❹把款项寄到或划拨到别处：～款|～兑。//❺指外汇：出口创～|～市。
202/L-03,会,（會）,huì,一级,6,❶聚合，合在一起（〖连〗–合）：就在这里～齐吧|～审|～师|～话（面对面说话）|～诊。//❷众人的集合。1.有一定目的的集会：纪念～|群众大～|开个～。2.指某些团体：工～|学生～。//❸城市（通常指行政中心）：都（dū）～|省～。//❹彼此见面：～客|～一～面|你～过他没有？//❺付钱：～账|饭钱我～过了。//❻理解，领悟，懂：误～|～意|领～。//❼能。1.表示懂得怎样做或有能力做：他～游泳。2.可能：我想他不～不懂。3.能够：我们的理想一定～实现。4.善于：能说～道。//❽机会，时机，事情变化的一个时间：适逢其～。//❾文言副词，一定，应当（〖连〗–当）：长风破浪～有时。//❿文言副词，恰好，正好：～天大雨，道不通。//⓫（–儿）一小段时间：一～儿|这～儿|那～儿|多～儿|用不了多大～儿。//另见kuài。
202/R-01,荟,（薈）,huì,二级,9,草木繁多。//［荟萃］（–cuì）聚集：人才～。
202/R-02,浍,（澮）,huì,二级,9,❶浍河，水名，发源于河南省，流入安徽省。//❷浍河，水名，汾河的支流，在山西省。//另见kuài。
202/R-03,绘,（繪）,huì,一级,9,，描：～图|～形～声。
202/R-04,桧,（檜）,huì,二级,10,用于人名。秦桧，南宋奸臣。//另见guì。
202/R-05,烩,（燴）,huì,二级,10,加浓汁或多种食物混在一起烹煮：～豆腐|～饭|杂～。
202/R-06,讳,（諱）,huì,一级,6,❶避忌，有顾忌不敢说或不愿说（〖连〗忌–）：～疾忌医|直言不～。//❷封建时代称死去的皇帝或尊长的名字。
203/L-01,诲,（誨）,huì,一级,9,教导，劝说（〖连〗教–）：～人不倦。
203/L-02,晦,,huì,一级,11,❶昏暗不明（〖连〗–暗）。//［晦气］1.不顺利，倒霉。2.指人不顺利或生病时难看的气色：一脸～。//❷夜晚：风雨如～。//❸农历每月的末一天。
203/L-03,恚,,huì,二级,10,恨，怒。
203/L-04,贿,,huì,一级,10,❶财物。//❷贿赂，用财物买通别人，也指用来买通别人的财物：行～|受～。
203/L-05,彗,（**篲）,huì（旧读suì）,二级,11,扫帚（sàozhou）。//［彗星］拖有长光像扫帚的星体。俗叫扫帚星。
203/L-06,蔧,,huì（旧读suì）,,14,王蔧，草本植物，即地肤，俗叫扫帚菜，分枝多，叶狭长。嫩苗可以吃，老株可以做扫帚。
203/L-07,慧,,huì,一级,15,聪明，有才智（〖连〗智–、聪–）：～眼|明～|秀外～中。
203/L-08,槥,,huì,,15,古代的一种小棺材。
203/L-09,𬭬,（鏏）,huì,三级,16,见wèi。
203/R-01,硊,,huì,三级,11,［石硊］地名，在安徽省芜湖市。
203/R-02,秽,,huì,一级,11,肮脏：～土（垃圾）。〖喻〗丑恶，丑陋：～行|自惭形～。
203/R-03,翙,（翽）,huì,三级,12,［翙翙］拟声词，形容鸟飞的声音。
203/R-04,惠,,huì,一级,12,好处：恩～|实～|加～于人。引给人好处：互～|～及全体人民。敬辞，用于对方对自己有益的行动：～赠|～临。
203/R-05,𬤝,（譓）,huì,三级,14,❶辨察。//❷顺服。
203/R-06,蕙,,huì,二级,15,蕙兰，兰花的一种，花淡黄绿色，气味香。
203/R-07,橞,,huì,三级,16,古书上说的一种树。
203/R-08,蟪,,huì,二级,18,［蟪蛄］（–gū）一种蝉，又叫伏天儿，身体小，青紫色，有黑纹。
203/R-09,喙,,huì,二级,12,嘴，特指鸟兽的嘴：毋庸置～（用不着多嘴）。
203/R-10,阓,,huì,,12,见“阛”字条“阛阓”（huán–）。
203/R-11,溃,（潰、**殨）,huì,一级,12,疮溃（kuì）烂：～脓。//另见kuì。
204/L-01,昏,（*昬）,hūn,一级,8,❶黄昏，天将黑的时候：晨～（早晚）。//❷黑暗（〖连〗–暗、–黑）：天～地暗。//❸神志不清楚，认识糊涂：发～|～～沉沉。引失去知觉：～迷|他～过去了。//❹古同“婚”。
204/L-02,阍,（閽）,hūn,二级,11,❶宫门。//❷看（kān）门。
204/L-03,惛,,hūn,三级,11,糊涂。
204/L-04,婚,,hūn,一级,11,结婚，男女结为夫妇：已～|未～|～配。//［婚姻］嫁娶、结婚的事：～自主。
204/L-05,碈,,hūn,三级,13,〈方〉一种类似涵洞而较小的地下排水建筑。多用于地名：赵家～（在湖南省常德）。
204/L-06,荤,（葷）,hūn,一级,9,❶鸡鸭鱼肉等食物，跟“素”相对：～素|～菜|不吃～。//❷葱蒜等有特殊气味的菜：五～。//❸粗俗的，下流的：～话。
204/L-07,浑,（渾）,hún,一级,9,❶水不清，污浊：～水坑。//❷糊涂，不明事理：～人|～话|这人太～了。//❸全，满：～身是汗。//❹天然的：～朴|～厚。
204/R-01,珲,（琿）,hún,二级,10,［珲春］地名，在吉林省。//另见huī。
204/R-02,馄,（餛）,hún,二级,11,［馄饨］（–tun）一种煮熟连汤吃的食品，用薄面片包上馅儿做成。
204/R-03,混,,hún,一级,11,同“浑❶❷”。//另见hùn。
204/R-04,魂,（*䰟）,hún,一级,13,❶迷信的人指能离开肉体而存在的精神（〖连〗–魄）：～不附体。//❷泛指精神或情绪：神～颠倒。特指崇高的精神：民族～|国～。//［灵魂］〖喻〗1.指人的精神、思想：教师是人类～的工程师。2.事物的最精粹、最主要的部分：这一句是全诗的～。
204/R-05,诨,（諢）,hùn,二级,8,开玩笑的话：打～|～名（外号）。
204/R-06,圂,,hùn,,10,❶猪圈。//❷厕所。
204/R-07,溷,,hùn,二级,13,❶肮脏（〖连〗–浊）。//❷厕所。//❸猪圈。
204/R-08,混,,hùn,一级,11,❶掺杂在一起：～合|～杂|～为一谈。//❷苟且度过：～日子|鬼～。//❸蒙混：～过去了|鱼目～珠。//❹副词，胡乱：～乱|～出主意。//［混沌］（–dùn）1.传说中指宇宙形成前的状态。2.糊涂，不清楚。//另见hún。
205/L-01,耠,,huō,二级,12,❶（–子）用来翻松土壤的农具，比犁轻便。//❷用耠子翻土，代替耕、锄或耩的工作：～地|～个八九厘米深就够了。
205/L-02,𬴃,（騞、**剨）,huō,三级,12,拟声词，形容用刀解剖东西的声音。
205/L-03,锪,（鍃）,huō,三级,13,一种金属加工方法，用专门的刀具对金属工件已有的孔进行加工，刮平端面或切出锥形、圆柱形凹坑。
205/L-04,劐,,huō,三级,15,❶用刀、剪的尖儿插入物体后顺势划开：用剪刀～开。//❷同“耠❷”。
205/L-05,嚄,,huō,二级,16,叹词，表示惊讶：～，好大的水库！另见ǒ。
205/L-06,豁,,huō,一级,17,❶残缺，裂开：～口|～了一个口子|～唇。//［豁子］（–zi）残缺的口子：碗上有个～|城墙拆了一个～。//❷舍弃，狠心付出高代价：～出性命|～出几天时间。//另见huò。
205/R-01,攉,,huō,二级,19,把堆在一起的东西铲起倒（dǎo）到另一处去：～土|～煤机。
205/R-02,和,,huó,一级,8,在粉状物中加水搅拌或揉弄使粘在一起：～面|～泥。//另见hé；hè；hú；huò。
205/R-03,佸,,huó,三级,8,相会，聚会。
205/R-04,活,,huó,一级,9,❶生存，能生长，跟“死”相对：鱼在水里才能～|新栽的树～了。引使生存：～命之恩|养家～口。//❷不固定，可移动的：～期存款|～页本|～塞|～扣。//［活泼］活跃自然，不呆板：孩子们很～。//❸副词，真正，简直：～像一只老虎|神气～现。//❹（–儿）工作或产品：做～|这～儿做得真好。//［活该］表示就应该这样，一点儿也不委屈：～如此。
205/R-05,火,,huǒ,一级,4,❶东西燃烧时所发的光和焰：着～|大～|～苗。〖喻〗紧急：～速|～急。//❷指枪炮弹药：军～|～器|开～。//［火药］炸药的一类，主要用作引燃药或发射药。是我国古代四大发明之一。//［火线］1.两军交战枪炮子弹交接的地带：轻伤不下～。2.从电源输送电的导线。//❸红色的：～狐|～鸡。//❹古代军队的组织，十个人为一火。//❺中医指引起发炎、红肿、烦躁等症状的病因：上～|败～。//❻（–儿）怒气：好大的～儿！//❼（–儿）发怒：他～儿了。//❽兴隆，旺盛：生意很～。
206/L-01,伙,（①—⑤△夥）,huǒ,一级,6,❶（–儿）伙计，同伴，一同做事的人（〖连〗–伴）：同～儿。//❷旧指店员：店～。//❸合伙，结伴，联合起来：～办|～同。//❹由同伴组成的集体：合～|入～。//❺量词，用于人群：一～歹徒|十人一～。//❻伙食：～补|起～。
206/L-02,钬,（鈥）,huǒ,三级,9,金属元素，符号Ho，原子序数67。银白色，质软。可用来制磁性材料。
206/L-03,漷,,huǒ,三级,13,［漷县］地名，在北京市通州。
206/L-04,夥,,huǒ,三级,14,❶多：获益甚～。//❷见“伙”。
206/L-05,或,,huò,一级,8,❶连词，表示选择：同意～反对。//❷副词，也许：明晨～可抵达。//❸文言代词，某人，有人：～谓之曰：“何不为学？”
206/L-06,惑,,huò,一级,12,❶疑惑，不明白对与不对：困～|大～不解|智者不～。//❷使迷乱（〖连〗迷–）：～乱人心|谣言～众。
206/R-01,和,,huò,一级,8,❶粉状或粒状物掺和在一起，或加水搅拌：～药。//❷量词。1.洗衣物换水的次数：衣裳已经洗了两～。2.煎药加水的次数：头～药|二～药。//另见hé；hè；hú；huó。
206/R-02,货,,huò,一级,8,❶货物，商品：进～|订～|水～|山～。//［货郎］卖零星商品的流动小贩。//❷钱币：通～|～币。//❸卖：～卖（出售）。//❹骂人时指人：他不是个好～|笨～|蠢～。
206/R-03,获,（①獲、②穫）,huò,一级,10,❶得到，取得（〖连〗–得）：俘～|不～全胜，决不收兵。引能得到机会或空闲：不～面辞。//❷收割庄稼。//［收获］割取成熟的农作物。引所得到的成果：这次学习有很大的～。
206/R-04,祸,（禍、*旤）,huò,一级,11,❶灾殃，苦难，跟“福”相对（〖连〗灾–）：大～临头|闯～。//❷损害，使受灾殃：～国殃民。
206/R-05,𰵼,（謋）,huò,,12,拟声词，形容迅速分裂的声音：动刀甚微，～然已解。
206/R-06,霍,,huò,一级,16,迅速，快：～然病愈。//［霍霍］拟声词，形容磨刀声：磨刀～。
207/L-01,藿,,huò,二级,19,藿香，草本植物，茎四棱形，叶对生，茎叶香味浓，可入药。
207/L-02,嚯,,huò,二级,19,❶叹词，表示惊讶或赞叹：～，几年不见，孩子长这么高了！//❷拟声词，形容笑声：～～一笑。
207/L-03,㸌,,huò,三级,20,形容光亮闪烁。
207/L-04,濩,,huò,三级,16,❶雨水从屋檐向下流的样子。//❷姓。
207/L-05,镬,（鑊）,huò,二级,18,❶〈方〉（–子）锅：～盖。//❷古代的大锅：鼎～（常用为残酷的刑具）。
207/L-06,蠖,,huò,二级,19,尺蠖，尺蠖蛾的幼虫，生活在树上，身体一屈一伸地前进，是害虫。
207/L-07,豁,,huò,一级,17,❶开通，敞亮：～达|～然开朗。//❷免除（〖连〗–免）。//另见huō。
207/L-08,几,（②③幾）,jī,一级,2,❶（–儿）小或矮的桌子：茶～|条～。//❷差一点儿，近乎：～乎|～为所害|迄今～四十年。//❸苗头：知～其神乎。//另见jǐ。
207/R-01,讥,（譏）,jī,一级,4,讽刺，挖苦（〖连〗–讽、–刺）：冷～热嘲|～笑。
207/R-02,叽,（嘰）,jī,一级,5,❶代词，询问数量多少：～个人？|来～天了？［几何］1.文言代词，多少：人生～？2.几何学，研究点、线、面、体的性质、关系和计算方法的学科。//❷表示不定的数目：他才十～岁|所剩无～。//另见jī。
207/R-03,饥,（①飢、②饑）,jī,一级,5,❶饿（〖连〗–饿）：～不择食|～寒交迫。//❷庄稼收成不好或没有收成：～馑。
207/R-04,玑,（璣）,jī,二级,6,❶不圆的珍珠：珠～。//❷古代测天文的仪器：璇～。
207/R-05,机,（機）,jī,一级,6,❶事物发生、变化的枢纽：生～|危～|转～。引1.对事情成败有重要关系的中心环节，有保密性质的事件：军～|～密|～要。2.机会，合宜的时候：～不可失|随～应变|勿失良～|时～。//❷指生命：～能|～体。//❸心思，念头：动～|心～|暗藏杀～。//❹灵巧，能迅速适应事物的变化的：～巧|～智|～警。//［机动］1.依照客观情况随时灵活行动：～处理|～作战。2.利用机器开动的：～车。//［机灵］聪明，头脑灵活。//❺机器，由许多零件组成可以做功或有特殊作用的装置或设备：织布～|发电～|收音～|拖拉～|计算～|手～。//［机械］1.利用力学原理组成的各种装置，各种机器、杠杆、滑轮以及枪炮等都是机械：～化|～工业。2.方式死板，不灵活：～地工作|～唯物论|你的办法太～了。//❻指飞机：～场|客～。
208/L-01,肌,,jī,一级,6,肌肉，人和动物体的组织之一，由许多肌纤维组成，具有收缩特性：心～|平滑～|骨骼～。
208/L-02,矶,（磯）,jī,二级,7,水边突出的岩石。多用于地名：采石～（在安徽省马鞍山市）|燕子～（在江苏省南京）。
208/L-03,击,（擊）,jī,一级,5,❶打，敲打：～鼓|～柝（tuò）（敲梆子）。//❷攻打：袭～|游～|痛～。//❸碰：冲～|撞～|肩摩毂（gǔ）～（形容来往人多，拥挤）。引接触：目～（亲眼看见）。
208/L-04,圾,,jī,一级,6,见“垃”字条“垃圾”（lā–）。
208/L-05,芨,,jī,二级,6,❶［白芨］即白及，草本植物，叶长形。块茎白色，可入药。//❷［芨芨草］草本植物，叶狭长，生长在碱性土壤的草滩上，是良好的固沙耐碱植物。
208/R-01,乩,,jī,二级,6,［扶乩］迷信的人占卜问疑。
208/R-02,鸡,（鷄、*雞）,jī,一级,7,家禽，公鸡能报晓，母鸡能生蛋。
208/R-03,枅,,jī,三级,8,古代指柱子或门上所垫的方木。
208/R-04,笄,,jī,二级,10,古代盘头发用的簪子。
208/R-05,奇,,jī,一级,8,❶数目不成双的，跟“偶”相对：一、三、五、七、九是～数。//❷零数，余数：长八分有～。//另见qí。
208/R-06,剞,,jī,二级,10,［剞劂］（–jué）1.雕刻用的弯刀。2.雕版，刻书。
208/R-07,犄,,jī,二级,12,［犄角］1.（–儿）物体的两个边沿相接处，棱角：桌子～儿。2.（–儿）角落：墙～儿。3.（–jiao）兽角：牛～。
208/R-08,畸,,jī,一级,13,❶不规则的，不正常的：～形。//❷数的零头：～零（零数）。//❸偏：～轻～重。
208/R-09,觭,,jī,三级,15,古同“奇❶”。
208/R-10,𬯀,（隮）,jī,三级,8,❶登，上升。//❷虹。
208/R-11,跻,,jī,二级,13,［跻身］上升到某位置，跨入某行列：～前三名|～文坛。
209/L-01,唧,,jī,一级,10,❶用水射击：～筒|～他一身水。//❷拟声词，形容虫叫声（叠）。//［唧咕］（–gu）同“叽咕”。
209/L-02,积,（積）,jī,一级,10,❶聚集：～少成多|～年累月|～习|～劳。//［积淀］1.积累沉淀。2.积累沉淀下来的事物（多指文化、知识、经验等）。//［积极］向上的，进取的，跟“消极”相对：工作～|～分子。//❷乘积，乘法运算的得数：二乘四的～是八。
